Column1,stem_word,most_similar_words,new_word_id,similar_word,score,Drew_code,Jenn_code
0,user,"('sodacansuperman', 0.5631051659584045)",1,sodacansuperman,0.563105166,0,0
1,user,"('appdata_local_google_chrome', 0.5278605222702026)",2,appdata_local_google_chrome,0.527860522,0,0
2,user,"('jgoodm', 0.524959921836853)",3,jgoodm,0.524959922,0,0
3,user,"('users', 0.520516037940979)",4,users,0.520516038,1,1
4,user,"('session_authenticated_user', 0.517302930355072)",5,session_authenticated_user,0.51730293,0,0
5,user,"('kajladk', 0.49685412645339966)",6,kajladk,0.496854126,0,0
6,user,"('0x3a', 0.49474912881851196)",7,0x3a,0.494749129,0,0
7,user,"('bdizzle420247', 0.4904922544956207)",8,bdizzle420247,0.490492254,0,0
8,user,"('lolotelli', 0.48631882667541504)",9,lolotelli,0.486318827,0,0
9,user,"('staragate', 0.4809650778770447)",10,staragate,0.480965078,0,0
10,abuser,"('abusers', 0.695186972618103)",11,abusers,0.695186973,1,1
11,abuser,"('perpetrator', 0.636640191078186)",12,perpetrator,0.636640191,0,0
12,abuser,"('offender', 0.6012646555900574)",13,offender,0.601264656,0,0
13,abuser,"('abusee', 0.5953758358955383)",14,abusee,0.595375836,0,1
14,abuser,"('perp', 0.5936321020126343)",15,perp,0.593632102,0,0
15,abuser,"('abusive', 0.5883575677871704)",16,abusive,0.588357568,0,1
16,abuser,"('alcoholic_drug_addict', 0.5800045132637024)",17,alcoholic_drug_addict,0.580004513,1,1
17,abuser,"('abusive_relationship', 0.5596670508384705)",18,abusive_relationship,0.559667051,0,0
18,abuser,"('neglect_abandonment', 0.5559259653091431)",19,neglect_abandonment,0.555925965,0,0
19,abuser,"('unrepentant_abuser', 0.5556890368461609)",20,unrepentant_abuser,0.555689037,0,1
20,junkie,"('addict', 0.5865216851234436)",21,addict,0.586521685,1,1
21,junkie,"('junky', 0.5841946005821228)",22,junky,0.584194601,1,1
22,junkie,"('drug_addict', 0.5667956471443176)",23,drug_addict,0.566795647,1,1
23,junkie,"('addicted', 0.5459640026092529)",24,addicted,0.545964003,1,1
24,junkie,"('druggie', 0.5409051775932312)",25,druggie,0.540905178,1,1
25,junkie,"('fiend', 0.5241281390190125)",26,fiend,0.524128139,1,0
26,junkie,"('pothead', 0.5059143900871277)",27,pothead,0.50591439,1,1
27,junkie,"('junkies', 0.5040671229362488)",28,junkies,0.504067123,1,1
28,junkie,"('heroin_addict', 0.4958747625350952)",29,heroin_addict,0.495874763,1,1
29,junkie,"('fanatic', 0.46920672059059143)",30,fanatic,0.469206721,0,0
30,alcoholic,"('alcholic', 0.8170824646949768)",31,alcholic,0.817082465,0,0
31,alcoholic,"('alchoholic', 0.7573719024658203)",32,alchoholic,0.757371902,0,0
32,alcoholic,"('alocholic', 0.7257784008979797)",33,alocholic,0.725778401,0,0
33,alcoholic,"('alcoholic_drug_addict', 0.7075038552284241)",34,alcoholic_drug_addict,0.707503855,1,1
34,alcoholic,"('drug_addict', 0.686487078666687)",35,drug_addict,0.686487079,1,1
35,alcoholic,"('aloholic', 0.6860281825065613)",36,aloholic,0.686028183,0,0
36,alcoholic,"('addict', 0.6810382604598999)",37,addict,0.68103826,1,1
37,alcoholic,"('alcohlic', 0.6559048295021057)",38,alcohlic,0.65590483,0,0
38,alcoholic,"('alcaholic', 0.6501529812812805)",39,alcaholic,0.650152981,0,0
39,alcoholic,"('acoholic', 0.6443312764167786)",40,acoholic,0.644331276,0,0
40,drunk,"('blackout_drunk', 0.7324531674385071)",41,blackout_drunk,0.732453167,0,0
41,drunk,"('intoxicated', 0.7185208797454834)",42,intoxicated,0.71852088,1,1
42,drunk,"('shitfaced', 0.7030916213989258)",43,shitfaced,0.703091621,1,1
43,drunk,"('tipsy', 0.639421284198761)",44,tipsy,0.639421284,1,1
44,drunk,"('stoned', 0.6320614814758301)",45,stoned,0.632061481,1,1
45,drunk,"('inebriated', 0.61567622423172)",46,inebriated,0.615676224,1,1
46,drunk,"('paralytically', 0.6076234579086304)",47,paralytically,0.607623458,0,0
47,drunk,"('buzzed', 0.6010434031486511)",48,buzzed,0.601043403,1,1
48,drunk,"('hammered', 0.5691573619842529)",49,hammered,0.569157362,1,1
49,drunk,"('drunken', 0.561235249042511)",50,drunken,0.561235249,1,1
50,habit,"('habbit', 0.7403287291526794)",51,habbit,0.740328729,1,1
51,habit,"('habits', 0.6109073758125305)",52,habits,0.610907376,1,1
52,habit,"('addiction', 0.5581374168395996)",53,addiction,0.558137417,1,1
53,habit,"('habitual', 0.49470123648643494)",54,habitual,0.494701236,1,1
54,habit,"('start_reflecting_fondly', 0.47351503372192383)",55,start_reflecting_fondly,0.473515034,0,0
55,habit,"('habbits', 0.46777743101119995)",56,habbits,0.467777431,1,1
56,habit,"('nicotine_addiction', 0.443225622177124)",57,nicotine_addiction,0.443225622,0,0
57,habit,"('nicodemon', 0.4421999454498291)",58,nicodemon,0.442199945,0,0
58,habit,"('cig', 0.43708139657974243)",59,cig,0.437081397,0,0
59,habit,"('nasty', 0.4220429062843323)",60,nasty,0.422042906,1,1
60,dirty,"('filthy', 0.6857637763023376)",61,filthy,0.685763776,1,1
61,dirty,"('smelly', 0.5506933927536011)",62,smelly,0.550693393,1,1
62,dirty,"('grimy', 0.5465357899665833)",63,grimy,0.54653579,1,1
63,dirty,"('slimy', 0.5427399277687073)",64,slimy,0.542739928,1,1
64,dirty,"('grubby', 0.5211503505706787)",65,grubby,0.521150351,1,1
65,dirty,"('stinky', 0.51761394739151)",66,stinky,0.517613947,1,1
66,dirty,"('sweaty', 0.49768325686454773)",67,sweaty,0.497683257,1,1
67,dirty,"('disgusting', 0.4878365993499756)",68,disgusting,0.487836599,1,1
68,dirty,"('unwashed', 0.47968918085098267)",69,unwashed,0.479689181,1,1
69,dirty,"('unhygienic', 0.46984410285949707)",70,unhygienic,0.469844103,1,1
70,stigma,"('social_stigma', 0.7227841019630432)",71,social_stigma,0.722784102,1,1
71,stigma,"('stigma_attached', 0.7182413339614868)",72,stigma_attached,0.718241334,1,1
72,stigma,"('stigma_associated', 0.6405112743377686)",73,stigma_associated,0.640511274,1,1
73,stigma,"('stigmas', 0.6286206841468811)",74,stigmas,0.628620684,1,1
74,stigma,"('stigma_surrounding', 0.5532160997390747)",75,stigma_surrounding,0.5532161,1,1
75,stigma,"('mental_illness', 0.5349299311637878)",76,mental_illness,0.534929931,1,1
76,stigma,"('stigmatized', 0.5239574909210205)",77,stigmatized,0.523957491,1,1
77,stigma,"('stigmatism', 0.5193446278572083)",78,stigmatism,0.519344628,0,0
78,stigma,"('prejudice', 0.475972056388855)",79,prejudice,0.475972056,1,1
79,stigma,"('unaddressed_addiction', 0.47126761078834534)",80,unaddressed_addiction,0.471267611,1,1
80,bias,"('biases', 0.7042331695556641)",81,biases,0.70423317,1,1
81,bias,"('biased', 0.6465941667556763)",82,biased,0.646594167,1,1
82,bias,"('confirmation_bias', 0.5867537260055542)",83,confirmation_bias,0.586753726,0,0
83,bias,"('prejudices', 0.5810531973838806)",84,prejudices,0.581053197,1,1
84,bias,"('cultural_bias', 0.5612401366233826)",85,cultural_bias,0.561240137,1,1
85,bias,"('prejudice', 0.548508882522583)",86,prejudice,0.548508883,1,1
86,bias,"('inherent_bias', 0.5388150215148926)",87,inherent_bias,0.538815022,1,1
87,bias,"('heavily_biased', 0.5348363518714905)",88,heavily_biased,0.534836352,1,1
88,bias,"('favoritism', 0.5153065323829651)",89,favoritism,0.515306532,1,0
89,bias,"('bigotry', 0.4974566400051117)",90,bigotry,0.49745664,1,1
90,stereotype,"('stereotypes', 0.7443199157714844)",91,stereotypes,0.744319916,1,1
91,stereotype,"('stereotypical', 0.6597116589546204)",92,stereotypical,0.659711659,1,1
92,stereotype,"('stereotyping', 0.6422012448310852)",93,stereotyping,0.642201245,1,1
93,stereotype,"('sterotype', 0.6042686104774475)",94,sterotype,0.60426861,1,1
94,stereotype,"('negative_stereotypes', 0.5690613389015198)",95,negative_stereotypes,0.569061339,1,1
95,stereotype,"('stereotypically', 0.5676756501197815)",96,stereotypically,0.56767565,1,1
96,stereotype,"('racial_stereotype', 0.5591234564781189)",97,racial_stereotype,0.559123456,1,0
97,stereotype,"('effeminate_gay', 0.5532121062278748)",98,effeminate_gay,0.553212106,0,0
98,stereotype,"('reverse_racism', 0.5477930307388306)",99,reverse_racism,0.547793031,0,0
99,stereotype,"('fetishizing', 0.5458522439002991)",100,fetishizing,0.545852244,0,0
100,shame,"('guilt', 0.5863933563232422)",101,guilt,0.586393356,0,0
101,shame,"('embarrassment', 0.528176486492157)",102,embarrassment,0.528176486,1,1
102,shame,"('self_loathing', 0.5132767558097839)",103,self_loathing,0.513276756,0,0
103,shame,"('embarassment', 0.5075473189353943)",104,embarassment,0.507547319,1,1
104,shame,"('pity', 0.501816987991333)",105,pity,0.501816988,1,0
105,shame,"('disgust', 0.4741336405277252)",106,disgust,0.474133641,1,1
106,shame,"('worthlessness', 0.47403040528297424)",107,worthlessness,0.474030405,1,1
107,shame,"('remorse', 0.46163392066955566)",108,remorse,0.461633921,0,0
108,shame,"('humiliation', 0.45404502749443054)",109,humiliation,0.454045027,1,1
109,shame,"('disappointment', 0.44304272532463074)",110,disappointment,0.443042725,1,1
110,blame,"('blaming', 0.7237976789474487)",111,blaming,0.723797679,1,1
111,blame,"('blamed', 0.6130921244621277)",112,blamed,0.613092124,1,1
112,blame,"('blames', 0.581384539604187)",113,blames,0.58138454,1,1
113,blame,"('fault', 0.526849091053009)",114,fault,0.526849091,1,1
114,blame,"('punish', 0.49681878089904785)",115,punish,0.496818781,1,1
115,blame,"('berate', 0.4779364764690399)",116,berate,0.477936476,1,1
116,blame,"('responsibility', 0.455581933259964)",117,responsibility,0.455581933,0,0
117,blame,"('responsible', 0.450766384601593)",118,responsible,0.450766385,0,0
118,blame,"('balme', 0.4457939863204956)",119,balme,0.445793986,1,1
119,blame,"('forgive', 0.440827339887619)",120,forgive,0.44082734,0,0
